Time,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,avg_rain,GB_out,GZ_in,GZ_out,E0
2013-09-03 04:00:00,,,,,,,,,229.1,54.149,10.287,0.1361
2013-09-03 05:00:00,,,,,,,,,186.3,50.795,10.436,0.1361
2013-09-03 06:00:00,,,,,,,,,196.7,10.188,10.138,0.1361
2013-09-03 07:00:00,,,,,,,,,194.5,27.161,10.138,0.1361
2013-09-03 08:00:00,,,,,,,,,183.9,22.644,145.419,0.1361
2013-09-03 09:00:00,,,,,,,,,258.2,33.062,214.739,0.1361
2013-09-03 10:00:00,,,,,,,,,309.8,50.334,215.305,0.1361
2013-09-03 11:00:00,,,,,,,,,343.0,57.461,215.423,0.1361
2013-09-03 12:00:00,,,,,,,,,343.2,75.988,60.462,0.1361
2013-09-03 13:00:00,,,,,,,,,278.1,92.885,10.138,0.1361
2013-09-03 14:00:00,,,,,,,,,359.9,97.327,9.84,0.1361
2013-09-03 15:00:00,,,,,,,,,359.5,103.708,9.691,0.1361
2013-09-03 16:00:00,,,,,,,,,383.3,127.46,53.645,0.1361
2013-09-03 17:00:00,,,,,,,,,384.5,147.254,212.521,0.1361
2013-09-03 18:00:00,,,,,,,,,372.5,162.596,213.351,0.1361
2013-09-03 19:00:00,,,,,,,,,281.5,189.574,212.552,0.1361
2013-09-03 20:00:00,,,,,,,,,338.4,211.12,301.345,0.1361
2013-09-03 21:00:00,,,,,,,,,272.2,265.497,437.342,0.1361
2013-09-03 22:00:00,,,,,,,,,321.8,275.824,440.064,0.1361
2013-09-03 23:00:00,,,,,,,,,285.1,293.602,400.292,0.1361
2013-09-04 00:00:00,,,,,,,,,313.7,262.37,25.962,0.1361
2013-09-04 01:00:00,,,,,,,,,286.6,242.053,9.542,0.1361
2013-09-04 02:00:00,,,,,,,,,194.1,186.759,10.138,0.1361
2013-09-04 03:00:00,,,,,,,,,143.1,129.227,11.033,0.1361
2013-09-04 04:00:00,,,,,,,,,133.3,81.182,9.84,0.1361
2013-09-04 05:00:00,,,,,,,,,111.6,26.243,9.84,0.1361
2013-09-04 06:00:00,,,,,,,,,91.6,33.771,10.287,0.1361
2013-09-04 07:00:00,,,,,,,,,148.3,7.9,10.436,0.1361
2013-09-04 08:00:00,,,,,,,,,170.0,27.137,9.989,0.1361
2013-09-04 09:00:00,,,,,,,,,185.5,26.985,70.963,0.1361
2013-09-04 10:00:00,,,,,,,,,206.0,54.272,214.116,0.1361
2013-09-04 11:00:00,,,,,,,,,148.0,61.283,214.126,0.1361
2013-09-04 12:00:00,,,,,,,,,78.3,73.561,165.08,0.1361
2013-09-04 13:00:00,,,,,,,,,54.9,87.006,9.989,0.1361
2013-09-04 14:00:00,,,,,,,,,4.19,90.336,9.691,0.1361
2013-09-04 15:00:00,,,,,,,,,4.19,76.894,10.585,0.1361
2013-09-04 16:00:00,,,,,,,,,55.1,66.864,52.554,0.1361
2013-09-04 17:00:00,,,,,,,,,118.2,90.534,214.188,0.1361
2013-09-04 18:00:00,,,,,,,,,151.0,74.99,213.764,0.1361
2013-09-04 19:00:00,,,,,,,,,92.8,105.716,214.62,0.1361
2013-09-04 20:00:00,,,,,,,,,142.5,119.476,213.924,0.1361
2013-09-04 21:00:00,,,,,,,,,203.7,145.628,208.058,0.1361
2013-09-04 22:00:00,,,,,,,,,257.0,151.84,110.087,0.1361
2013-09-04 23:00:00,,,,,,,,,161.6,129.836,1.066,0.1361
2013-09-05 00:00:00,,,,,,,,,176.5,138.172,0.164,0.1361
2013-09-05 01:00:00,,,,,,,,,195.0,105.781,0.0,0.1361
2013-09-05 02:00:00,,,,,,,,,167.3,80.266,0.0,0.1361
2013-09-05 03:00:00,,,,,,,,,168.8,55.729,0.0,0.1361
2013-09-05 04:00:00,,,,,,,,,212.4,34.0,0.0,0.1361
2013-09-05 05:00:00,,,,,,,,,97.4,30.444,0.0,0.1361
2013-09-05 06:00:00,,,,,,,,,59.3,13.519,0.0,0.1361
2013-09-05 07:00:00,,,,,,,,,56.2,7.9,0.0,0.1361
2013-09-05 08:00:00,,,,,,,,,59.0,10.139,0.0,0.1361
2013-09-05 09:00:00,,,,,,,,,222.1,13.519,0.0,0.1361
2013-09-05 10:00:00,,,,,,,,,268.5,41.143,64.353,0.1361
2013-09-05 11:00:00,,,,,,,,,344.4,64.291,199.732,0.1361
2013-09-05 12:00:00,,,,,,,,,301.6,85.827,149.486,0.1361
2013-09-05 13:00:00,,,,,,,,,164.4,99.346,0.0,0.1361
2013-09-05 14:00:00,,,,,,,1.5,0.2,174.2,123.003,0.0,0.1361
2013-09-05 15:00:00,,,,,,,1.0,0.1,212.0,119.624,0.0,0.1361
2013-09-05 16:00:00,,,,,,,,,280.8,107.174,9.94,0.1361
2013-09-05 17:00:00,,,,,,,,,293.5,100.636,201.051,0.1361
2013-09-05 18:00:00,,,,,,,,,345.5,123.017,425.723,0.1361
2013-09-05 19:00:00,,,,,,,,,219.8,166.801,424.933,0.1361
2013-09-05 20:00:00,,,,,,,,,345.1,163.783,427.995,0.1361
2013-09-05 21:00:00,,,,,,,,,343.6,189.848,237.503,0.1361
2013-09-05 22:00:00,,,,,,,,,334.8,194.238,36.272,0.1361
2013-09-05 23:00:00,,,,,,,,,226.6,182.694,10.138,0.1361
2013-09-06 00:00:00,,,,,,,,,96.6,160.821,10.585,0.1361
2013-09-06 01:00:00,,,,,,,,,126.1,108.686,10.735,0.1361
2013-09-06 02:00:00,,,,,,,,,107.1,89.863,10.884,0.1361
2013-09-06 03:00:00,,,,,,,,,62.6,65.635,11.033,0.1361
2013-09-06 04:00:00,,,,,,,,,65.6,47.909,11.033,0.1361
2013-09-06 05:00:00,,,,,,,,,48.9,41.326,11.182,0.1361
2013-09-06 06:00:00,,,,,,,,,61.4,21.171,11.331,0.1361
2013-09-06 07:00:00,,,,,,,,,55.1,17.867,11.182,0.1361
2013-09-06 08:00:00,,,,,,,,,60.0,24.701,11.331,0.1361
2013-09-06 09:00:00,,,,,,,,,192.9,28.636,54.915,0.1361
2013-09-06 10:00:00,,,,,,,,,302.3,83.455,400.791,0.1361
2013-09-06 11:00:00,,,,,,,,,299.5,121.422,441.762,0.1361
2013-09-06 12:00:00,,,,,,,,,290.0,160.776,288.005,0.1361
2013-09-06 13:00:00,,,,,,,,,217.4,160.801,11.331,0.1361
2013-09-06 14:00:00,,,,,,,,,232.0,170.914,11.182,0.1361
2013-09-06 15:00:00,1.5,32.5,7.0,8.5,,0.5,3.0,7.6,228.6,180.598,11.629,0.1361
2013-09-06 16:00:00,14.0,42.5,62.5,18.5,1.0,29.5,95.0,37.6,321.9,146.653,14.611,0.1361
2013-09-06 17:00:00,4.5,3.5,22.5,34.5,0.5,6.0,8.5,11.4,336.5,143.049,55.141,0.1361
2013-09-06 18:00:00,2.0,1.0,2.0,10.5,1.5,0.5,0.5,2.6,336.5,134.083,213.929,0.1361
2013-09-06 19:00:00,2.0,2.0,1.0,2.0,3.0,0.5,,1.5,336.5,177.518,211.114,0.1361
2013-09-06 20:00:00,,,,,1.5,1.0,1.0,0.5,336.5,206.899,207.75,0.1361
2013-09-06 21:00:00,0.5,,,,,,0.5,0.1,336.5,259.231,206.724,0.1361
2013-09-06 22:00:00,,,,,,,,,336.5,290.668,203.239,0.1361
2013-09-06 23:00:00,,,,,,,,,216.4,298.203,201.744,0.1361
2013-09-07 00:00:00,,,,,,,,,223.0,292.052,177.02,0.1361
2013-09-07 01:00:00,,,0.5,,,,,0.1,240.1,264.05,2.542,0.1361
2013-09-07 02:00:00,,,,,,,,,146.7,239.906,2.05,0.1361
2013-09-07 03:00:00,,,,,,,,,153.0,179.15,1.64,0.1361
2013-09-07 04:00:00,,,,,,,,,163.2,152.269,1.394,0.1361
2013-09-07 05:00:00,,0.5,,,,,,0.1,179.6,125.61,1.23,0.1361
2013-09-07 06:00:00,,,,,,,,,183.7,109.802,1.066,0.1361
2013-09-07 07:00:00,,,,,,,,,257.0,109.311,0.984,0.1361
2013-09-07 08:00:00,,,,,,,,,153.9,98.749,0.902,0.1361
2013-09-07 09:00:00,,,,,,,,,206.2,91.853,0.82,0.1361
2013-09-07 10:00:00,,,,,,,,,237.6,84.984,0.738,0.1361
2013-09-07 11:00:00,,,,,,,,,272.2,84.902,0.738,0.1361
