Time,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,avg_rain,GB_out,GZ_in,GZ_out,E0
2010-08-08 08:00:00,,,,,,,,,4.82,7.9,8.61,0.1599
2010-08-08 09:00:00,,,,,,,,,4.82,8.605,8.61,0.1599
2010-08-08 10:00:00,,,,,,,,,40.8,11.059,43.34,0.1599
2010-08-08 11:00:00,,,,,,,,,16.5,17.476,188.219,0.1599
2010-08-08 12:00:00,0.5,,,,,,,0.1,4.82,11.795,157.022,0.1599
2010-08-08 13:00:00,,,,,,,,,4.82,11.795,8.58,0.1599
2010-08-08 14:00:00,,,,,,,,,4.74,15.175,8.61,0.1599
2010-08-08 15:00:00,,,,,,,,,4.82,8.411,8.58,0.1599
2010-08-08 16:00:00,1.5,0.5,4.0,11.0,2.5,1.0,,2.9,4.82,12.711,8.58,0.1599
2010-08-08 17:00:00,6.0,8.0,8.5,8.0,5.0,3.5,3.0,6.0,4.82,7.9,8.58,0.1599
2010-08-08 18:00:00,3.0,2.0,2.0,1.0,2.0,3.0,4.0,2.4,4.74,8.59,8.61,0.1599
2010-08-08 19:00:00,0.5,,,,,0.5,0.5,0.2,4.74,11.97,8.58,0.1599
2010-08-08 20:00:00,,,,,,,,,4.74,7.9,63.643,0.1599
2010-08-08 21:00:00,,,,,,,,,4.74,27.362,187.848,0.1599
2010-08-08 22:00:00,,0.5,,,,,,0.1,4.74,13.417,188.526,0.1599
2010-08-08 23:00:00,,,,,,,,,4.74,16.164,85.894,0.1599
2010-08-09 00:00:00,,,,,,,,,4.66,9.396,8.55,0.1599
2010-08-09 01:00:00,,,,,,,,,4.66,12.769,8.55,0.1599
2010-08-09 02:00:00,,,,,,,,,4.74,13.732,8.58,0.1599
2010-08-09 03:00:00,,,,,,,,,4.74,7.9,8.58,0.1599
2010-08-09 04:00:00,,,,,,,,,4.74,7.9,8.58,0.1599
2010-08-09 05:00:00,,,,,,,,,4.74,7.9,8.61,0.1599
2010-08-09 06:00:00,,,,,,,,,4.74,15.338,8.58,0.1599
2010-08-09 07:00:00,,,,,,,,,4.74,8.59,8.61,0.1599
2010-08-09 08:00:00,,,,,,,,,4.74,8.59,8.58,0.1599
2010-08-09 09:00:00,,,,,,,,,78.2,11.969,8.58,0.1599
2010-08-09 10:00:00,,,,,,,,,206.2,13.614,38.726,0.1599
2010-08-09 11:00:00,,,,,,,,,233.1,50.728,190.735,0.1599
2010-08-09 12:00:00,,,,,,,,,201.5,77.933,151.53,0.1599
2010-08-09 13:00:00,,,,,,,,,136.0,98.205,8.58,0.1599
2010-08-09 14:00:00,,,,,,,,,35.8,128.627,8.61,0.1599
2010-08-09 15:00:00,,,0.5,,0.5,41.5,3.0,6.5,25.1,132.012,8.61,0.1599
