time,precip,evap,T,flow
2023/7/27 21:00,1.625,0.01,25,4.5
2023/7/27 22:00,3.25,0.01,25,5.4
2023/7/27 23:00,3.5,0.01,25,5.7
2023/7/28 0:00,0.5,0.01,25,7.2
2023/7/28 1:00,1.75,0.01,25,7.9
2023/7/28 2:00,0.375,0.01,25,7.2
2023/7/28 3:00,2,0.01,25,6.6
2023/7/28 4:00,0.75,0.01,25,6.6
2023/7/28 5:00,0.5,0.01,25,6.6
2023/7/28 6:00,0,0.01,25,7.8
2023/7/28 7:00,0,0.01,25,6.8
2023/7/28 8:00,0,0.01,25,5.92
2023/7/28 9:00,0.125,0.01,25,5.7
2023/7/28 10:00,1.625,0.01,25,5.1
2023/7/28 11:00,0.75,0.01,25,4.8
2023/7/28 12:00,8.875,0.01,25,6.2
2023/7/28 13:00,6.625,0.01,25,9
2023/7/28 14:00,3.875,0.01,25,13.9
2023/7/28 15:00,4.75,0.01,25,17.2
2023/7/28 16:00,4.625,0.01,25,21
2023/7/28 17:00,12.125,0.01,25,31.1
2023/7/28 18:00,8.5,0.01,25,43
2023/7/28 19:00,7.75,0.01,25,49.1
2023/7/28 20:00,9.25,0.01,25,57.5
2023/7/28 21:00,16.875,0.01,25,86
2023/7/28 22:00,14.125,0.01,25,107
2023/7/28 23:00,19.375,0.01,25,151
2023/7/29 0:00,12.25,0.01,25,170
2023/7/29 1:00,4.25,0.01,25,124
2023/7/29 2:00,3.625,0.01,25,88
2023/7/29 3:00,2.875,0.01,25,67.5
2023/7/29 4:00,2,0.01,25,54.2
2023/7/29 5:00,3.125,0.01,25,45.7
2023/7/29 6:00,8,0.01,25,46.4
2023/7/29 7:00,6.25,0.01,25,49.1
2023/7/29 8:00,2.125,0.01,25,54
2023/7/29 9:00,1.5,0.01,25,48.5
2023/7/29 10:00,3,0.01,25,45.7
2023/7/29 11:00,0.5,0.01,25,42.4
2023/7/29 12:00,0.625,0.01,25,37.1
2023/7/29 13:00,0,0.01,25,32.2
2023/7/29 14:00,0,0.01,25,29
2023/7/29 15:00,0,0.01,25,26.5
2023/7/29 16:00,0.25,0.01,25,24.1
2023/7/29 17:00,0,0.01,25,22.3
2023/7/29 18:00,0,0.01,25,20.5
2023/7/29 19:00,0,0.01,25,18.8
2023/7/29 20:00,0,0.01,25,17.6
2023/7/29 21:00,0,0.01,25,16.4
2023/7/29 22:00,0.375,0.01,25,15.9
2023/7/29 23:00,0.125,0.01,25,14.7
2023/7/30 0:00,0,0.01,25,13.9
2023/7/30 1:00,0,0.01,25,13.5
2023/7/30 2:00,0,0.01,25,12.7
2023/7/30 3:00,0,0.01,25,12.2
2023/7/30 4:00,0,0.01,25,11.6
2023/7/30 5:00,0,0.01,25,11.3
2023/7/30 6:00,0,0.01,25,10.8
2023/7/30 7:00,0,0.01,25,10.2
2023/7/30 8:00,0,0.01,25,10
2023/7/30 9:00,0,0.01,25,9.8
2023/7/30 10:00,0.125,0.01,25,9.3
2023/7/30 11:00,0,0.01,25,9.1
2023/7/30 12:00,0.125,0.01,25,8.8
2023/7/30 13:00,0.375,0.01,25,8.3
2023/7/30 14:00,0.375,0.01,25,8.5
2023/7/30 15:00,0,0.01,25,7.9
2023/7/30 16:00,0,0.01,25,7.9
2023/7/30 17:00,0,0.01,25,7.8
2023/7/30 18:00,0,0.01,25,7.6
2023/7/30 19:00,0,0.01,25,7.2
2023/7/30 20:00,0,0.01,25,7.1
2023/7/30 21:00,0,0.01,25,6.8
2023/7/30 22:00,0,0.01,25,6.8
2023/7/30 23:00,0,0.01,25,6.6
2023/7/31 0:00,0,0.01,25,6.6
2023/7/31 1:00,0,0.01,25,6.6
2023/7/31 2:00,0,0.01,25,6.5
2023/7/31 3:00,0,0.01,25,6.5
2023/7/31 4:00,0,0.01,25,6.5
2023/7/31 5:00,0,0.01,25,6
2023/7/31 6:00,0,0.01,25,6
2023/7/31 7:00,0,0.01,25,6.2
2023/7/31 8:00,0,0.01,25,5.62
