time,year,month,day,hour,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,avg_rain,GB_out,GZ_in,GZ_out
2020-01-01 00:00:00,2020,1.0,1.0,0.0,,,,,,,,,2.21,7.9,23.325
2020-01-01 01:00:00,2020,1.0,1.0,1.0,,,,,,,,,2.21,7.9,20.764
2020-01-01 02:00:00,2020,1.0,1.0,2.0,,,,,,,,,2.21,7.9,23.555
2020-01-01 03:00:00,2020,1.0,1.0,3.0,,,,,,,,,2.21,7.9,20.741
2020-01-01 04:00:00,2020,1.0,1.0,4.0,,,,,,,,,2.21,9.063,23.549
2020-01-01 05:00:00,2020,1.0,1.0,5.0,,,,,,,,,2.21,19.201,23.549
2020-01-01 06:00:00,2020,1.0,1.0,6.0,,,,,,,,,2.21,32.401,21.694
2020-01-01 07:00:00,2020,1.0,1.0,7.0,,,,,,,,,2.21,42.444,20.737
2020-01-01 08:00:00,2020,1.0,1.0,8.0,,,,,,,,,2.21,55.806,23.454
2020-01-01 09:00:00,2020,1.0,1.0,9.0,,,,,,,,,2.21,59.646,23.507
2020-01-01 10:00:00,2020,1.0,1.0,10.0,,,,,,,,,2.21,56.256,23.485
2020-01-01 11:00:00,2020,1.0,1.0,11.0,,,,,,,,,2.63,52.857,23.707
2020-01-01 12:00:00,2020,1.0,1.0,12.0,,,,,,,,,3.12,43.052,23.418
2020-01-01 13:00:00,2020,1.0,1.0,13.0,,,,,,,,,3.17,43.526,23.585
2020-01-01 14:00:00,2020,1.0,1.0,14.0,,,,,,,,,3.28,36.453,21.016
2020-01-01 15:00:00,2020,1.0,1.0,15.0,,,,,,,,,3.38,39.843,23.568
2020-01-01 16:00:00,2020,1.0,1.0,16.0,,,,,,,,,4.22,46.616,23.566
2020-01-01 17:00:00,2020,1.0,1.0,17.0,,,,,,,,,3.81,43.229,23.389
2020-01-01 18:00:00,2020,1.0,1.0,18.0,,,,,,,,,3.6,36.003,20.613
2020-01-01 19:00:00,2020,1.0,1.0,19.0,,,,,,,,,3.87,29.126,22.328
2020-01-01 20:00:00,2020,1.0,1.0,20.0,,,,,,,,,3.87,26.185,23.364
2020-01-01 21:00:00,2020,1.0,1.0,21.0,,,,,,,,,3.87,16.011,23.085
2020-01-01 22:00:00,2020,1.0,1.0,22.0,,,,,,,,,3.87,9.212,23.328
2020-01-01 23:00:00,2020,1.0,1.0,23.0,,,,,,,,,3.87,7.9,23.318
2020-01-02 00:00:00,2020,1.0,2.0,0.0,,,,,,,,,4.24,9.737,23.279
2020-01-02 01:00:00,2020,1.0,2.0,1.0,,,,,,,,,4.24,7.9,23.415
2020-01-02 02:00:00,2020,1.0,2.0,2.0,,,,,,,,,4.24,7.9,21.109
2020-01-02 03:00:00,2020,1.0,2.0,3.0,,,,,,,,,4.24,9.643,23.413
2020-01-02 04:00:00,2020,1.0,2.0,4.0,,,,,,,,,4.24,7.9,23.404
2020-01-02 05:00:00,2020,1.0,2.0,5.0,,,,,,,,,4.24,7.9,23.403
2020-01-02 06:00:00,2020,1.0,2.0,6.0,,,,,,,,,4.24,7.9,23.397
2020-01-02 07:00:00,2020,1.0,2.0,7.0,,,,,,,,,4.24,7.9,23.398
2020-01-02 08:00:00,2020,1.0,2.0,8.0,,,,,,,,,4.24,7.9,22.991
2020-01-02 09:00:00,2020,1.0,2.0,9.0,,,,,,,,,4.24,7.9,23.409
2020-01-02 10:00:00,2020,1.0,2.0,10.0,,,,,,,,,4.24,7.9,23.458
2020-01-02 11:00:00,2020,1.0,2.0,11.0,,,,,,,,,4.24,7.9,23.464
2020-01-02 12:00:00,2020,1.0,2.0,12.0,,,,,,,,,4.24,7.9,23.461
2020-01-02 13:00:00,2020,1.0,2.0,13.0,,,,,,,,,4.24,7.9,23.511
2020-01-02 14:00:00,2020,1.0,2.0,14.0,,,,,,,,,4.24,7.9,22.874
2020-01-02 15:00:00,2020,1.0,2.0,15.0,,,,,,,,,4.24,7.9,23.505
2020-01-02 16:00:00,2020,1.0,2.0,16.0,,,,,,,,,4.24,7.9,23.461
2020-01-02 17:00:00,2020,1.0,2.0,17.0,,,,,,,,,30.3,7.9,23.606
2020-01-02 18:00:00,2020,1.0,2.0,18.0,,,,,,,,,65.7,7.9,23.419
2020-01-02 19:00:00,2020,1.0,2.0,19.0,,,,,,,,,47.1,13.242,23.423
2020-01-02 20:00:00,2020,1.0,2.0,20.0,,,,,,,,,14.2,9.679,21.772
2020-01-02 21:00:00,2020,1.0,2.0,21.0,,,,,,,,,4.19,19.801,23.4
2020-01-02 22:00:00,2020,1.0,2.0,22.0,,,,,,,,,4.19,19.613,22.341
2020-01-02 23:00:00,2020,1.0,2.0,23.0,,,,,,,,,4.19,19.391,22.267
2020-01-03 00:00:00,2020,1.0,3.0,0.0,,,,,,,,,4.24,22.592,22.349
2020-01-03 01:00:00,2020,1.0,3.0,1.0,,,,,,,,,4.24,12.266,22.3
2020-01-03 02:00:00,2020,1.0,3.0,2.0,,,,,,,,,4.24,8.972,22.288
2020-01-03 03:00:00,2020,1.0,3.0,3.0,,,,,,,,,97.8,7.9,22.264
2020-01-03 04:00:00,2020,1.0,3.0,4.0,,,,,,,,,107.4,8.518,20.745
2020-01-03 05:00:00,2020,1.0,3.0,5.0,,,,,,,,,18.3,28.487,20.423
2020-01-03 06:00:00,2020,1.0,3.0,6.0,,,,,,,,,67.2,28.66,23.382
2020-01-03 07:00:00,2020,1.0,3.0,7.0,,,,,,,,,4.24,32.218,23.378
2020-01-03 08:00:00,2020,1.0,3.0,8.0,,,,,,,,,4.24,42.54,23.38
2020-01-03 09:00:00,2020,1.0,3.0,9.0,,,,,,,,,19.2,39.349,23.396
2020-01-03 10:00:00,2020,1.0,3.0,10.0,,,,,,,,,48.6,32.65,21.109
2020-01-03 11:00:00,2020,1.0,3.0,11.0,,,,,,,,,76.9,23.018,23.462
2020-01-03 12:00:00,2020,1.0,3.0,12.0,,,,,,,,,84.1,29.393,21.08
2020-01-03 13:00:00,2020,1.0,3.0,13.0,,,,,,,,,48.4,39.58,23.659
2020-01-03 14:00:00,2020,1.0,3.0,14.0,,,,,,,,,22.4,39.626,23.661
2020-01-03 15:00:00,2020,1.0,3.0,15.0,,,,,,,,,88.8,43.018,23.472
2020-01-03 16:00:00,2020,1.0,3.0,16.0,,,,,,,,,24.5,59.868,20.819
2020-01-03 17:00:00,2020,1.0,3.0,17.0,,,,,,,,,4.24,53.13,23.59
2020-01-03 18:00:00,2020,1.0,3.0,18.0,,,,,,,1.0,0.1,43.7,46.771,23.482
2020-01-03 19:00:00,2020,1.0,3.0,19.0,,,,,,,,,4.19,39.988,23.515
2020-01-03 20:00:00,2020,1.0,3.0,20.0,,,,,,,,,4.19,29.345,20.634
2020-01-03 21:00:00,2020,1.0,3.0,21.0,,,,,,,,,4.19,29.359,23.558
2020-01-03 22:00:00,2020,1.0,3.0,22.0,,,,,,,,,62.9,12.456,20.792
2020-01-03 23:00:00,2020,1.0,3.0,23.0,,,,1.5,,,,0.2,35.5,12.45,23.555
2020-01-04 00:00:00,2020,1.0,4.0,0.0,,,,,,,,,17.6,19.223,23.562
2020-01-04 01:00:00,2020,1.0,4.0,1.0,,,,,,,,,10.7,15.836,23.473
2020-01-04 02:00:00,2020,1.0,4.0,2.0,,,,,,,,,9.41,26.03,20.962
2020-01-04 03:00:00,2020,1.0,4.0,3.0,,,,,,,,,4.24,19.27,23.555
2020-01-04 04:00:00,2020,1.0,4.0,4.0,,,,,,,,,4.24,26.099,21.21
2020-01-04 05:00:00,2020,1.0,4.0,5.0,,,,,,,,,4.24,19.339,23.545
2020-01-04 06:00:00,2020,1.0,4.0,6.0,,,,,,,,,4.19,12.577,23.546
2020-01-04 07:00:00,2020,1.0,4.0,7.0,,,,,,,,,4.24,12.588,23.543
2020-01-04 08:00:00,2020,1.0,4.0,8.0,,,,,,,,,44.2,7.9,23.532
2020-01-04 09:00:00,2020,1.0,4.0,9.0,,,,,,,,,34.3,7.9,23.536
2020-01-04 10:00:00,2020,1.0,4.0,10.0,,,,,,,,,24.0,7.9,23.105
2020-01-04 11:00:00,2020,1.0,4.0,11.0,,,,0.5,,,,0.1,44.1,13.34,23.609
2020-01-04 12:00:00,2020,1.0,4.0,12.0,,,,,,,,,62.8,20.098,23.535
2020-01-04 13:00:00,2020,1.0,4.0,13.0,,,,,,,,,54.8,30.224,23.474
2020-01-04 14:00:00,2020,1.0,4.0,14.0,,,,,,,,,77.7,40.365,23.544
2020-01-04 15:00:00,2020,1.0,4.0,15.0,,,,,,,,,13.9,51.784,31.499
2020-01-04 16:00:00,2020,1.0,4.0,16.0,,,,,,,,,4.24,54.726,40.757
2020-01-04 17:00:00,2020,1.0,4.0,17.0,,,,,,,,,4.24,57.603,40.872
2020-01-04 18:00:00,2020,1.0,4.0,18.0,,,,,,,,,4.19,47.013,40.827
2020-01-04 19:00:00,2020,1.0,4.0,19.0,,,,,,,,,102.5,39.764,40.806
2020-01-04 20:00:00,2020,1.0,4.0,20.0,,,,,,,,,56.4,42.487,39.881
2020-01-04 21:00:00,2020,1.0,4.0,21.0,,,,,,,,,4.19,44.011,40.921
2020-01-04 22:00:00,2020,1.0,4.0,22.0,,,,,,,,,14.6,43.83,39.668
2020-01-04 23:00:00,2020,1.0,4.0,23.0,,,,,,,,,43.9,37.167,40.895
2020-01-05 00:00:00,2020,1.0,5.0,0.0,,,,,,,,,70.4,50.555,40.878
2020-01-05 01:00:00,2020,1.0,5.0,1.0,,,,,,,,,67.5,57.269,40.815
2020-01-05 02:00:00,2020,1.0,5.0,2.0,,,,,,,,,59.0,50.662,40.796
2020-01-05 03:00:00,2020,1.0,5.0,3.0,,,,,,,,,98.0,57.324,40.892
